Co to jest rower?;Pojazd;Nie wiem;Nie znam siê;Tak;1000;
Ile to jest 2 + 2?;5;7;2;4;0001;
Co robi pajac?;Tañczy;Pajacuje;Skacze;Rozœmiesza;1111;
Co robi DPS?;DPS-uje;Tankuje;Healuje;Nic nie robi;1000;
Czy programujesz?;Tak;Nie;Nie wiem;Co to za pytanie?!;1111;
Ry¿ siê sieje czy sadzi?;sadzi siê w piachu;sieje sie jak ¿yto;sadzi siê na polach zalanych wod¹;nie wiem;0010;
Co to jest sylwester?;nagroda w dziedzinie filmu;noc z 31 grudnia na 1 stycznia;kot z filmów Disneya;iluminacja;0100;
Ile ramion ma oœmiornica?;czternaœcie;szeœæ;dziewiêæ a jedno malutkie;milion;0100;
Który król Polski podpisa³ pokój w Toruniu koñcz¹cy wojnê trzynastoletni¹?;W³adys³aw Warneñczyk;Kazimierz Jagielloñczyk;W³adys³aw Jagie³³o;Kazimierz Wielki;0010;
Które z tych zwierz¹t NIE nale¿y do rodziny torbaczy?;Kangur;Diabe³ tasmañski;Uchatka australijska;Koala;0001;
Najwiêkszym zwartym kompleksem leœnym w Polsce jest (s¹):;Puszcza Notecka;Bory Tucholskie;Bory Dolnoœl¹skie;Biebrzañski Park Narodowy;1000;
Na trasie drogowej Warszawa-Lublin znajduje siê miasto o ha³aœliwej nazwie:;Ryki;Kwiki;Piski;Wrzaski;0001;
Które miasto jest stolica Australii:;Brisbane;Melbourne;Canberra;Sidney;0001;
Ile lat trwa³a wojna secesyjna?;4;13;30;Dwa wieki;0100;
Co robi Andrzej?;Œpiewa;Tañczy;Klaszcze;Siedzi;1111;
